Issue Type,Custom field (Patch Info),Issue key,Issue id,Parent id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Improvement,,CAMEL-13025,13205829,,camel-core - File read lock changed - If file gets deleted then break out loop,davsclaus,davsclaus,Major,Resolved,Fixed,20/Dec/18 22:24,23/Dec/18 08:19,
Bug,,CAMEL-12769,13182580,,Combination of File consumer with charset and Split DSL with XPath doesn't parse XML correctly,tadayosi,tadayosi,Major,Resolved,Fixed,03/Sep/18 08:22,04/Sep/18 14:37,
Improvement,,CAMEL-12751,13181252,,http producer - Ignore content length header,ancosen,davsclaus,Major,Resolved,Fixed,27/Aug/18 07:39,06/Sep/18 08:13,
Bug,Patch Available,CAMEL-12739,13179534,,TypeConverters are not registered to all contexts,davsclaus,fogninid,Major,Resolved,Fixed,17/Aug/18 08:31,17/Aug/18 09:14,
Bug,,CAMEL-12606,13169168,,regression in camel test blueprint behaviour,valdar,valdar,Major,Resolved,Fixed,29/Jun/18 14:01,02/Jul/18 08:04,
Improvement,,CAMEL-12493,13157879,,Make additional HL7 Type Converters optional,ancosen,christian.ohr,Major,Resolved,Fixed,08/May/18 11:40,14/May/18 09:15,
Improvement,,CAMEL-12421,13149996,,camel-elasticsearch-rest should use Camel converter pattern,ancosen,lboutros,Major,Resolved,Fixed,04/Apr/18 13:15,05/Apr/18 08:35,
New Feature,,CAMEL-12221,13135471,,Let's create a camel-fhir component,jpoth,jpoth,Major,Resolved,Fixed,01/Feb/18 16:11,06/Mar/18 12:39,
Improvement,,CAMEL-5618,12607803,,"The tag ""contextScan"" should inject @Converter methods from @Converter components.",njiang,bsas,Major,Resolved,Won't Fix,16/Sep/12 14:21,25/Mar/15 09:04,
Bug,,CAMEL-4780,12535215,,"ObjectHelper can not access a member of class com.db.fi.camel.scala.XmlToScalaNode$ with modifiers ""private""",njiang,cpmcdaniel,Minor,Resolved,Not A Problem,14/Dec/11 22:12,15/Dec/11 12:47,
Bug,,CAMEL-4026,12508608,,"Camel does not work out of the box in Java webstart, due classpath scanning is not possible",davsclaus,jn,Minor,Resolved,Fixed,28/May/11 01:16,23/Jul/11 11:07,
Bug,,CAMEL-3650,12498227,,SMSC initiated unbind spawns exponential amounts of reconnect threads,muellerc,jacovt,Critical,Closed,Fixed,10/Feb/11 10:49,25/Oct/11 11:35,
Bug,,CAMEL-2940,12485952,,org.apache.camel.component.test package is imported in camel-spring component - generates error on OSGI platform,cmoulliard,cmoulliard,Major,Closed,Fixed,12/Jul/10 15:12,24/Apr/11 09:57,
Bug,,CAMEL-2663,12487328,,DefaultPackageScanClassResolver can't read entries in an eclipse rcp app because it can't handle bundleresource - protocol,njiang,cdittberner,Major,Closed,Fixed,21/Apr/10 10:21,24/Apr/11 10:01,
Bug,,CAMEL-1770,12485885,,InOut exchange pattern is not detected by routes,davsclaus,ericbouer,Major,Closed,Cannot Reproduce,29/Jun/09 08:38,21/Nov/09 11:59,
Bug,,CAMEL-1035,12486173,12486184,ResolverUtil under Eclipse RPC (OSGi) error: Could not read entries in url: bundleresource://36/org/apache/camel/converter,njiang,ehildebrandt,Major,Closed,Fixed,30/Oct/08 10:25,31/Jul/09 06:33,
Bug,,CAMEL-1000,12486122,,Trace interceptor does not work with Spring-event component,hadrian,cmoulliard,Major,Closed,Cannot Reproduce,20/Oct/08 07:58,24/Oct/09 11:16,
Bug,,CAMEL-994,12484961,,NullPointerException is raised by the Camel Event endpoint (org.apache.camel.component.event.EventEndpoint) during message sending (= produce),,cmoulliard,Major,Closed,Not A Problem,17/Oct/08 08:17,16/Feb/09 05:51,
Improvement,Patch Available,CAMEL-990,12486040,,TypeConverter support with @Converter meta-annotation and not only @Converter,hadrian,sauvray,Major,Closed,Fixed,16/Oct/08 11:35,16/Feb/09 05:51,
Bug,,CAMEL-774,12485911,,ResolverUtil under OSGi error: Could not search jar file '/org/apache/camel/converter',davsclaus,ceefour,Major,Closed,Fixed,31/Jul/08 20:39,16/Feb/09 05:51,
Bug,,CAMEL-636,12485450,,ResolverUtil can't resolve converter annotations in WebSphere 6.1,davsclaus,davsclaus,Major,Closed,Fixed,25/Jun/08 11:40,11/Jul/08 04:21,
Improvement,,CAMEL-577,12485326,,ResolverUtil can't resolve class under osgi enviroment,,ffang,Major,Closed,Fixed,04/Jun/08 08:43,11/Jul/08 04:21,
Bug,,CAMEL-268,12485110,,apache-camel.jar's TypeConverter file is incorrect,hadrian,acricken,Major,Closed,Fixed,18/Dec/07 14:16,12/May/08 12:45,
